Country ,Year ,Age,Users
India ,2018,18,20
India ,2018,19,15
India ,2018,20,15
India ,2018,21,15
India ,2018,22,15
India ,2018,23,15
India ,2018,24,15
India ,2018,25,20
India ,2018,26,10
India ,2018,27,10
India ,2018,28,10
India ,2018,29,8
India ,2018,30,8
India ,2018,31,15
India ,2018,32,7
India ,2018,33,6
India ,2018,34,5
India ,2018,35,4.5
India ,2018,36,4
India ,2018,37,4
India ,2018,38,4
India ,2018,39,3
India ,2018,40,3
India ,2018,41,2.5
India ,2018,42,2.5
India ,2018,43,2.5
India ,2018,44,2
India ,2018,45,2
India ,2018,46,2
India ,2018,47,1.5
India ,2018,48,4.8
India ,2018,49,1.5
India ,2018,50,1.5
India ,2018,51,1
India ,2018,52,1
India ,2018,53,0.9
India ,2018,54,0.8
India ,2018,55,0.7
India ,2018,56,0.7
India ,2018,57,0.6
India ,2018,58,0.6
India ,2018,59,0.5
India ,2018,60,0.45
India ,2018,61,0.45
India ,2018,62,0.4
India ,2018,63,0.35
India ,2018,64,0.3
India ,2018,65,3
United States ,2018,18,3.5
United States ,2018,19,4
United States ,2018,20,5
United States ,2018,21,6
United States ,2018,22,6
United States ,2018,23,6
United States ,2018,24,6
United States ,2018,25,7
United States ,2018,26,6
United States ,2018,27,6
United States ,2018,28,7
United States ,2018,29,6
United States ,2018,30,6
United States ,2018,31,5
United States ,2018,32,5
United States ,2018,33,5
United States ,2018,34,4.5
United States ,2018,35,4.5
United States ,2018,36,4.5
United States ,2018,37,5
United States ,2018,38,5
United States ,2018,39,4
United States ,2018,40,4
United States ,2018,41,4
United States ,2018,42,4
United States ,2018,43,3.5
United States ,2018,44,3.5
United States ,2018,45,3.5
United States ,2018,46,3.5
United States ,2018,47,4.7
United States ,2018,48,4
United States ,2018,49,3.5
United States ,2018,50,3.5
United States ,2018,51,3
United States ,2018,52,3.5
United States ,2018,53,3.5
United States ,2018,54,3.5
United States ,2018,55,3.5
United States ,2018,56,3
United States ,2018,57,3.5
United States ,2018,58,3
United States ,2018,59,3
United States ,2018,60,3
United States ,2018,61,3
United States ,2018,62,2.5
United States ,2018,63,2.5
United States ,2018,64,2.5
United States ,2018,65,25
Brazil,2018,18,4.5
Brazil,2018,19,5
Brazil,2018,20,4.5
Brazil,2018,21,4.5
Brazil,2018,22,4.5
Brazil,2018,23,4.5
Brazil,2018,24,4.5
Brazil,2018,25,6
Brazil,2018,26,4
Brazil,2018,27,4
Brazil,2018,28,4
Brazil,2018,29,3.5
Brazil,2018,30,3.5
Brazil,2018,31,4
Brazil,2018,32,3.5
Brazil,2018,33,3
Brazil,2018,34,3
Brazil,2018,35,3
Brazil,2018,36,3
Brazil,2018,37,3
Brazil,2018,38,3
Brazil,2018,39,2.5
Brazil,2018,40,2.5
Brazil,2018,41,2.5
Brazil,2018,42,2.5
Brazil,2018,43,2
Brazil,2018,44,2
Brazil,2018,45,2
Brazil,2018,46,2
Brazil,2018,47,2
Brazil,2018,48,2
Brazil,2018,49,1.5
Brazil,2018,50,1.5
Brazil,2018,51,1.5
Brazil,2018,52,1.5
Brazil,2018,53,1.5
Brazil,2018,54,1.5
Brazil,2018,55,1.5
Brazil,2018,56,1
Brazil,2018,57,1
Brazil,2018,58,1
Brazil,2018,59,0.9
Brazil,2018,60,0.8
Brazil,2018,61,0.7
Brazil,2018,62,0.7
Brazil,2018,63,0.6
Brazil,2018,64,0.6
Brazil,2018,65,4
Indonesia,2018,18,8
Indonesia,2018,19,7
Indonesia,2018,20,6
Indonesia,2018,21,6
Indonesia,2018,22,6
Indonesia,2018,23,6
Indonesia,2018,24,5
Indonesia,2018,25,7
Indonesia,2018,26,4
Indonesia,2018,27,4.5
Indonesia,2018,28,4.5
Indonesia,2018,29,3.5
Indonesia,2018,30,3.5
Indonesia,2018,31,9
Indonesia,2018,32,3
Indonesia,2018,33,2.5
Indonesia,2018,34,2.5
Indonesia,2018,35,2
Indonesia,2018,36,2
Indonesia,2018,37,2
Indonesia,2018,38,2
Indonesia,2018,39,1.5
Indonesia,2018,40,1.5
Indonesia,2018,41,1.5
Indonesia,2018,42,1.5
Indonesia,2018,43,1
Indonesia,2018,44,0.9
Indonesia,2018,45,0.9
Indonesia,2018,46,0.7
Indonesia,2018,47,0.8
Indonesia,2018,48,0.7
Indonesia,2018,49,0.6
Indonesia,2018,50,0.5
Indonesia,2018,51,0.4
Indonesia,2018,52,0.4
Indonesia,2018,53,0.35
Indonesia,2018,54,0.3
Indonesia,2018,55,0.25
Indonesia,2018,56,0.2
Indonesia,2018,57,0.2
Indonesia,2018,58,0.2
Indonesia,2018,59,0.15
Indonesia,2018,60,0.15
Indonesia,2018,61,0.09
Indonesia,2018,62,0.08
Indonesia,2018,63,0.08
Indonesia,2018,64,0.06
Indonesia,2018,65,2.5
Mexico ,2018,18,4
Mexico ,2018,19,4
Mexico ,2018,20,3.5
Mexico ,2018,21,3.5
Mexico ,2018,22,3.5
Mexico ,2018,23,3.5
Mexico ,2018,24,3.5
Mexico ,2018,25,4
Mexico ,2018,26,3
Mexico ,2018,27,3
Mexico ,2018,28,3
Mexico ,2018,29,2.5
Mexico ,2018,30,2.5
Mexico ,2018,31,3
Mexico ,2018,32,2.5
Mexico ,2018,33,2
Mexico ,2018,34,2
Mexico ,2018,35,2
Mexico ,2018,36,2
Mexico ,2018,37,2
Mexico ,2018,38,2
Mexico ,2018,39,1.5
Mexico ,2018,40,1.5
Mexico ,2018,41,1.5
Mexico ,2018,42,1.5
Mexico ,2018,43,1.5
Mexico ,2018,44,1.5
Mexico ,2018,45,1.5
Mexico ,2018,46,1
Mexico ,2018,47,1
Mexico ,2018,48,1
Mexico ,2018,49,0.8
Mexico ,2018,50,0.8
Mexico ,2018,51,0.7
Mexico ,2018,52,0.7
Mexico ,2018,53,0.6
Mexico ,2018,54,0.6
Mexico ,2018,55,0.5
Mexico ,2018,56,0.5
Mexico ,2018,57,0.45
Mexico ,2018,58,0.45
Mexico ,2018,59,0.4
Mexico ,2018,60,0.35
Mexico ,2018,61,0.3
Mexico ,2018,62,0.3
Mexico ,2018,63,0.25
Mexico ,2018,64,0.2
Mexico ,2018,65,2
Philippines ,2018,18,5
Philippines ,2018,19,4
Philippines ,2018,20,3.5
Philippines ,2018,21,3
Philippines ,2018,22,3
Philippines ,2018,23,3
Philippines ,2018,24,3
Philippines ,2018,25,3.5
Philippines ,2018,26,2.5
Philippines ,2018,27,2.5
Philippines ,2018,28,2.5
Philippines ,2018,29,2
Philippines ,2018,30,2
Philippines ,2018,31,2.5
Philippines ,2018,32,1.5
Philippines ,2018,33,1.5
Philippines ,2018,34,1.5
Philippines ,2018,35,1.5
Philippines ,2018,36,1.5
Philippines ,2018,37,1.5
Philippines ,2018,38,1.5
Philippines ,2018,39,0.9
Philippines ,2018,40,0.9
Philippines ,2018,41,0.8
Philippines ,2018,42,0.8
Philippines ,2018,43,0.7
Philippines ,2018,44,0.6
Philippines ,2018,45,0.6
Philippines ,2018,46,0.6
Philippines ,2018,47,0.6
Philippines ,2018,48,0.6
Philippines ,2018,49,0.5
Philippines ,2018,50,0.45
Philippines ,2018,51,0.4
Philippines ,2018,52,0.4
Philippines ,2018,53,0.4
Philippines ,2018,54,0.35
Philippines ,2018,55,0.3
Philippines ,2018,56,0.3
Philippines ,2018,57,0.3
Philippines ,2018,58,0.3
Philippines ,2018,59,0.25
Philippines ,2018,60,0.2
Philippines ,2018,61,0.2
Philippines ,2018,62,0.2
Philippines ,2018,63,0.2
Philippines ,2018,64,0.15
Philippines ,2018,65,1.5
Vietnam ,2018,18,3.5
Vietnam ,2018,19,3
Vietnam ,2018,20,2.5
Vietnam ,2018,21,2.5
Vietnam ,2018,22,2.5
Vietnam ,2018,23,2.5
Vietnam ,2018,24,2.5
Vietnam ,2018,25,3.5
Vietnam ,2018,26,2.5
Vietnam ,2018,27,2.5
Vietnam ,2018,28,2.5
Vietnam ,2018,29,2
Vietnam ,2018,30,2
Vietnam ,2018,31,2.5
Vietnam ,2018,32,1.5
Vietnam ,2018,33,1.5
Vietnam ,2018,34,1.5
Vietnam ,2018,35,1.5
Vietnam ,2018,36,1.5
Vietnam ,2018,37,1.5
Vietnam ,2018,38,1.5
Vietnam ,2018,39,0.9
Vietnam ,2018,40,0.7
Vietnam ,2018,41,0.8
Vietnam ,2018,42,0.7
Vietnam ,2018,43,0.6
Vietnam ,2018,44,0.6
Vietnam ,2018,45,0.6
Vietnam ,2018,46,0.5
Vietnam ,2018,47,0.45
Vietnam ,2018,48,0.45
Vietnam ,2018,49,0.4
Vietnam ,2018,50,0.35
Vietnam ,2018,51,0.3
Vietnam ,2018,52,0.3
Vietnam ,2018,53,0.3
Vietnam ,2018,54,0.3
Vietnam ,2018,55,0.25
Vietnam ,2018,56,0.25
Vietnam ,2018,57,0.25
Vietnam ,2018,58,0.25
Vietnam ,2018,59,0.2
Vietnam ,2018,60,0.2
Vietnam ,2018,61,0.15
Vietnam ,2018,62,0.15
Vietnam ,2018,63,0.15
Vietnam ,2018,64,0.09
Vietnam ,2018,65,0.7
Thailand ,2018,18,2.5
Thailand ,2018,19,2.5
Thailand ,2018,20,2.5
Thailand ,2018,21,2.5
Thailand ,2018,22,2
Thailand ,2018,23,2
Thailand ,2018,24,2
Thailand ,2018,25,3.5
Thailand ,2018,26,2
Thailand ,2018,27,2
Thailand ,2018,28,2
Thailand ,2018,29,1.5
Thailand ,2018,30,1.5
Thailand ,2018,31,2
Thailand ,2018,32,1.5
Thailand ,2018,33,1.5
Thailand ,2018,34,1
Thailand ,2018,35,1.5
Thailand ,2018,36,1.5
Thailand ,2018,37,1
Thailand ,2018,38,1
Thailand ,2018,39,0.8
Thailand ,2018,40,0.8
Thailand ,2018,41,0.8
Thailand ,2018,42,0.7
Thailand ,2018,43,0.7
Thailand ,2018,44,0.6
Thailand ,2018,45,0.6
Thailand ,2018,46,0.6
Thailand ,2018,47,0.6
Thailand ,2018,48,0.6
Thailand ,2018,49,0.5
Thailand ,2018,50,0.45
Thailand ,2018,51,0.4
Thailand ,2018,52,0.4
Thailand ,2018,53,0.4
Thailand ,2018,54,0.35
Thailand ,2018,55,0.3
Thailand ,2018,56,0.3
Thailand ,2018,57,0.3
Thailand ,2018,58,0.3
Thailand ,2018,59,0.25
Thailand ,2018,60,0.2
Thailand ,2018,61,0.2
Thailand ,2018,62,0.2
Thailand ,2018,63,0.15
Thailand ,2018,64,0.15
Thailand ,2018,65,1.5
Turkey ,2018,18,1.5
Turkey ,2018,19,1.5
Turkey ,2018,20,1.5
Turkey ,2018,21,1.5
Turkey ,2018,22,1.5
Turkey ,2018,23,2
Turkey ,2018,24,1.5
Turkey ,2018,25,2.5
Turkey ,2018,26,1.5
Turkey ,2018,27,1.5
Turkey ,2018,28,1.5
Turkey ,2018,29,1.5
Turkey ,2018,30,1.5
Turkey ,2018,31,1.5
Turkey ,2018,32,1.5
Turkey ,2018,33,1.5
Turkey ,2018,34,1.5
Turkey ,2018,35,1.5
Turkey ,2018,36,1.5
Turkey ,2018,37,1.5
Turkey ,2018,38,1.5
Turkey ,2018,39,1
Turkey ,2018,40,0.9
Turkey ,2018,41,0.9
Turkey ,2018,42,0.8
Turkey ,2018,43,0.8
Turkey ,2018,44,0.8
Turkey ,2018,45,0.7
Turkey ,2018,46,0.7
Turkey ,2018,47,0.7
Turkey ,2018,48,0.7
Turkey ,2018,49,0.5
Turkey ,2018,50,0.5
Turkey ,2018,51,0.4
Turkey ,2018,52,0.5
Turkey ,2018,53,0.5
Turkey ,2018,54,0.4
Turkey ,2018,55,0.4
Turkey ,2018,56,0.35
Turkey ,2018,57,0.35
Turkey ,2018,58,0.35
Turkey ,2018,59,0.25
Turkey ,2018,60,0.25
Turkey ,2018,61,0.2
Turkey ,2018,62,0.25
Turkey ,2018,63,0.2
Turkey ,2018,64,0.15
Turkey ,2018,65,1.5
United Kingdom,2018,18,0.8
United Kingdom,2018,19,0.9
United Kingdom,2018,20,1
United Kingdom,2018,21,1
United Kingdom,2018,22,1.5
United Kingdom,2018,23,1.5
United Kingdom,2018,24,1.5
United Kingdom,2018,25,1.5
United Kingdom,2018,26,1.5
United Kingdom,2018,27,1.5
United Kingdom,2018,28,1.5
United Kingdom,2018,29,1.5
United Kingdom,2018,30,1.5
United Kingdom,2018,31,1
United Kingdom,2018,32,1
United Kingdom,2018,33,1
United Kingdom,2018,34,0.9
United Kingdom,2018,35,0.9
United Kingdom,2018,36,0.9
United Kingdom,2018,37,0.9
United Kingdom,2018,38,1
United Kingdom,2018,39,0.8
United Kingdom,2018,40,0.7
United Kingdom,2018,41,0.7
United Kingdom,2018,42,0.8
United Kingdom,2018,43,0.8
United Kingdom,2018,44,0.7
United Kingdom,2018,45,0.7
United Kingdom,2018,46,0.7
United Kingdom,2018,47,0.8
United Kingdom,2018,48,0.8
United Kingdom,2018,49,0.7
United Kingdom,2018,50,0.7
United Kingdom,2018,51,0.7
United Kingdom,2018,52,0.7
United Kingdom,2018,53,0.7
United Kingdom,2018,54,0.6
United Kingdom,2018,55,0.6
United Kingdom,2018,56,0.6
United Kingdom,2018,57,0.6
United Kingdom,2018,58,0.5
United Kingdom,2018,59,0.5
United Kingdom,2018,60,0.45
United Kingdom,2018,61,0.4
United Kingdom,2018,62,0.4
United Kingdom,2018,63,0.35
United Kingdom,2018,64,0.35
United Kingdom,2018,65,4
Nigeria ,2018,18,1.5
Nigeria ,2018,19,1.5
Nigeria ,2018,20,1
Nigeria ,2018,21,0.9
Nigeria ,2018,22,1
Nigeria ,2018,23,0.9
Nigeria ,2018,24,0.9
Nigeria ,2018,25,1.5
Nigeria ,2018,26,0.8
Nigeria ,2018,27,0.8
Nigeria ,2018,28,0.9
Nigeria ,2018,29,0.6
Nigeria ,2018,30,0.7
Nigeria ,2018,31,1.5
Nigeria ,2018,32,0.6
Nigeria ,2018,33,0.5
Nigeria ,2018,34,0.4
Nigeria ,2018,35,0.4
Nigeria ,2018,36,0.35
Nigeria ,2018,37,0.35
Nigeria ,2018,38,0.4
Nigeria ,2018,39,0.25
Nigeria ,2018,40,0.25
Nigeria ,2018,41,0.2
Nigeria ,2018,42,0.25
Nigeria ,2018,43,0.2
Nigeria ,2018,44,0.15
Nigeria ,2018,45,0.15
Nigeria ,2018,46,0.15
Nigeria ,2018,47,0.15
Nigeria ,2018,48,0.2
Nigeria ,2018,49,0.15
Nigeria ,2018,50,0.15
Nigeria ,2018,51,0.09
Nigeria ,2018,52,0.1
Nigeria ,2018,53,0.1
Nigeria ,2018,54,0.08
Nigeria ,2018,55,0.08
Nigeria ,2018,56,0.06
Nigeria ,2018,57,0.15
Nigeria ,2018,58,0.2
Nigeria ,2018,59,0.05
Nigeria ,2018,60,0.045
Nigeria ,2018,61,0.035
Nigeria ,2018,62,0.035
Nigeria ,2018,63,0.03
Nigeria ,2018,64,0.025
Nigeria ,2018,65,0.15